"","h1_yoy","h3_yoy","h12_yoy"
"2013-05-01",0.0748809259122575,0.0722400595140644,0.0684883226478717
"2013-06-01",0.0883126869700357,0.0881004513871002,0.0875005201094812
"2013-07-01",0.0643167304865715,0.0642416347633123,0.0634501885063079
"2013-08-01",0.0365320634043611,0.0384798540335092,0.0394944121900287
"2013-09-01",0.0844923202758557,0.0857253745635522,0.0889705400052681
"2013-10-01",0.0250014884383575,0.0272324582182335,0.0361577703498133
"2013-11-01",0.0861802799224603,0.0845150820967773,0.0724835177422741
"2013-12-01",0.0666262511777296,0.0678643204329983,0.0670386439384678
"2014-01-01",0.0810685620026499,0.0786567298561125,0.0808927211665919
"2014-02-01",0.128284195692832,0.122979053618022,0.119412027757759
"2014-03-01",0.0908056646713959,0.0905020468617888,0.0881976503379557
"2014-04-01",0.0632031875289232,0.0619406027130178,0.0635635943622535
"2014-05-01",-0.00110550012998292,0.00997430334963696,0.0177689996464317
"2014-06-01",0.0446927914384526,0.0503948490289621,0.0460593500206392
"2014-07-01",0.0308812783800246,0.0350774069019425,0.0412254420096646
"2014-08-01",0.0804720636582057,0.082180847564215,0.0782664214185947
"2014-09-01",0.0682658727464251,0.0714637143135157,0.0737503110922685
"2014-10-01",0.0140286973196989,0.0161117488064583,0.0231455584106695
"2014-11-01",0.0686970770129604,0.06607253442169,0.0635372929225976
"2014-12-01",0.0714402708160271,0.0708499583343186,0.0661590888175496
"2015-01-01",0.161753319715209,0.155648420961317,0.144485713207079
"2015-02-01",0.17979341744066,0.178989926048915,0.180817022664124
"2015-03-01",0.0780453345728897,0.0862548731529486,0.0856173634424455
"2015-04-01",0.0888081472945322,0.0902462524201652,0.0853585454643336
"2015-05-01",0.0933124390766606,0.0948439317290072,0.0895718420895268
"2015-06-01",0.0719314242632672,0.0697833958626693,0.0755136012879459
"2015-07-01",0.0448362573852715,0.0504103469481234,0.0532863477001264
"2015-08-01",0.0848509678303396,0.0802801301727738,0.0810090757568339
"2015-09-01",0.0805204894351087,0.0759509056816655,0.0747731865554295
"2015-10-01",0.111276269760056,0.108077976052172,0.10580868648409
"2015-11-01",0.08336343189404,0.0883662843495916,0.0864846747160193
"2015-12-01",0.0555304073877416,0.0586126667465291,0.0574144335287685
"2016-01-01",0.076820824188543,0.0811526607489068,0.0806694202295943
"2016-02-01",0.0890069135806589,0.091409348496941,0.0897355097148155
"2016-03-01",0.0762739780078274,0.0759366048981781,0.0733020077923462
"2016-04-01",0.0548013081415167,0.0528955837939366,0.0466512371889973
"2016-05-01",0.0422932648839201,0.0465098660343514,0.0430544725863711
"2016-06-01",0.0367100952291002,0.0333489338737008,0.0379903127045524
"2016-07-01",0.039814780571468,0.0412928590568631,0.0459690564494518
"2016-08-01",0.0619970242732031,0.0595845518857668,0.0558471107902934
"2016-09-01",0.080689421226139,0.0772399156622796,0.0753806883085269
"2016-10-01",0.094058222375036,0.093723721934426,0.0937720180760234
"2016-11-01",0.107360630214934,0.102451935746514,0.100227243138806
"2016-12-01",0.101849299666158,0.0980184469477609,0.0949057489999534
"2017-01-01",0.0901961274055806,0.0942829004820892,0.0949595696816764
"2017-02-01",0.0735233339746879,0.0761620559025716,0.0767686611851637
"2017-03-01",0.117992464216074,0.121484788009939,0.120000299489074
"2017-04-01",0.132574935588207,0.131805086449117,0.129936142397688
"2017-05-01",0.0555314009165375,0.0572026956412176,0.0591669461329573
"2017-06-01",0.0720328606656976,0.0717328952310496,0.0715759993362532
"2017-07-01",0.0787877792101247,0.0790980213670989,0.0825555255267837
"2017-08-01",0.101791980490789,0.100741177533357,0.100590445702262
"2017-09-01",0.0953390780773875,0.099075020233573,0.0999083132535303
"2017-10-01",-0.0189270086738644,-0.0142399601962688,-0.0112764961590198
"2017-11-01",0.0995547485032961,0.0965825530595895,0.0958589469674949
"2017-12-01",0.0744894713219437,0.0780748734454422,0.0743242992161476
