"","h1","h3","h12"
"2019-09-01",1.40737414423649,1.34939016916663,1.34451306651259
"2019-10-01",1.44726365542371,1.42324690225072,1.46802820013774
"2019-11-01",1.0628598383331,1.06195269720932,1.09303802462208
"2019-12-01",1.14856325418881,1.06641024349733,1.17151175354911
"2020-01-01",-0.183547800921608,-0.131498268452506,0.0198020924999822
"2020-02-01",0.821176612991899,0.800137794666166,0.739998239148264
"2020-03-01",1.01076524794005,1.1047668677974,1.01102920690867
"2020-04-01",0.873184659744331,0.81045030464038,0.827964447638708
"2020-05-01",0.541175077187017,0.619142187333432,0.645526983259264
"2020-06-01",0.769192457782642,0.812891354788542,0.813019023400121
"2020-07-01",2.15545820599941,2.07925348656554,1.96564462902804
"2020-08-01",-1.04855907553793,-0.799932575778254,-0.42745700659442
"2020-09-01",0.167305244052077,0.0763641400697701,0.226492668484817
"2020-10-01",0.568437249369102,0.427040846755245,0.462262297651656
"2020-11-01",0.538138673583478,0.405975575902937,0.439033363558146
"2020-12-01",0.696202187766867,0.718104296040708,0.692286193294495
"2021-01-01",4.52725044107043,4.25124098343903,3.7335116311316
"2021-02-01",0.961294688027193,1.11050033644737,1.22806565884603
"2021-03-01",0.39366812827269,0.527397372775122,0.740132947277514
"2021-04-01",0.741788841864017,0.774653567421387,0.800550118382543
"2021-05-01",1.37569847787423,1.23702561228816,1.1644169370695
"2021-06-01",1.37043587677926,1.35016124587265,1.2933895048656
"2021-07-01",2.28958507325366,2.16771474518445,2.01136399516921
"2021-08-01",2.08408926278638,1.92591130674392,1.93965122481979
"2021-09-01",2.26179856473647,2.16240349240268,2.1048960744721
"2021-10-01",2.28996690816862,2.28969505195542,2.16161329544797
"2021-11-01",3.51223313018898,3.36317552890322,3.19589740260521
"2021-12-01",2.93258015056649,2.84255950246092,2.77469593594383
"2022-01-01",3.84691210672649,3.71307288662453,3.6929779493612
"2022-02-01",3.67553294698542,3.56167092973806,3.50404283894134
"2022-03-01",3.74080788031045,3.75456784129804,3.69601921672953
"2022-04-01",4.3600739917972,4.24261067683748,4.1205141779439
"2022-05-01",4.9193828259118,4.79908369164762,4.74308457592081
"2022-06-01",3.18489119713863,3.25764124691402,3.34546951822504
"2022-07-01",4.3883753618942,4.34237135334046,4.35435617493926
"2022-08-01",4.89761243354164,4.87278085946494,4.59369911945771
"2022-09-01",6.75921857301602,6.5076966644557,6.299108867574
"2022-10-01",5.60506501127145,5.52216960497643,5.59610097138796
"2022-11-01",5.54886893552652,5.70640590846347,5.58017689759848
"2022-12-01",5.56350445924396,5.44555954055877,5.41513097427552
"2023-01-01",6.71133692705152,6.66310842392441,6.53720882336726
"2023-02-01",6.05946452561111,6.01197931784531,5.90540704991102
"2023-03-01",5.37040234182178,5.43157476091925,5.44270960040486
"2023-04-01",4.44181809660913,4.56271396027085,4.6100311423482
"2023-05-01",3.61288485411794,3.67997001663675,3.81659348772919
"2023-06-01",3.51002692135747,3.6077715826666,3.86090025641184
"2023-07-01",3.10542800882746,3.10865598649641,3.2336335645677
"2023-08-01",3.39085626549607,3.43227167604489,3.52345657392539
"2023-09-01",2.71135411072968,2.76913776508854,2.88576123782219
"2023-10-01",2.46167256270442,2.54110520660318,2.74943137364116
"2023-11-01",2.01922255362942,2.0851173099914,2.05720436863001
"2023-12-01",2.33971767032914,2.42947143305646,2.59600030695216
"2024-01-01",3.54121901848437,3.44997191975662,3.48700503619498
"2024-02-01",3.33686948555074,3.22682747696808,3.22430330896194
"2024-03-01",3.04955427400107,3.0311744366298,3.1362086878732
"2024-04-01",2.40263340064247,2.45335690910204,2.41518884227256
"2024-05-01",3.48719226379178,3.51085456869856,3.45980177200229
"2024-06-01",2.68927631895687,2.71820405316573,2.74466845297211
"2024-07-01",2.43617945031411,2.51720029019511,2.54898566072259
"2024-08-01",2.72329271867643,2.71285609619872,2.76628469619189
"2024-09-01",1.92255459747741,1.97129570933081,1.86262531714252
"2024-10-01",2.23528635591112,2.26199864434763,2.28895479199055
"2024-11-01",2.08672816662043,2.07065405601464,2.13127909180033
"2024-12-01",2.46864952200949,2.44357031158789,2.4996004681298
"2025-01-01",2.59728841232741,2.65916628698028,2.66580537914536
"2025-02-01",2.05933344420091,2.20508106477712,2.27087411172201
